nameOfPlace,Poverty Rate
Fieldbrook CDP,6.0
Fields Landing CDP,45.5
Fortuna city,14.6
Garberville CDP,45.5
Hoopa CDP,28.5
Humboldt Hill CDP,12.2
Hydesville CDP,19.2
Indianola CDP,25.8
Kep'el CDP,57.9
Loleta CDP,6.7
McKinleyville CDP,14.1
Manila CDP,7.8
Miranda CDP,54.7
Myers Flat CDP,37.5
Myrtletown CDP,18.8
Orick CDP,18.3
Phillipsville CDP,-
Pine Hills CDP,20.3
Redcrest CDP,-
Redway CDP,22.4
Rio Dell city,10.0
Samoa CDP,6.7
Scotia CDP,15.7
Shelter Cove CDP,22.0
Trinidad city,14.0
Wautec CDP,52.9
Weitchpec CDP,70.9
Weott CDP,-
Westhaven-Moonstone CDP,10.4
Willow Creek CDP,11.3
Imperial County,21.1
Bombay Beach CDP,69.4
Brawley city,23.6
Calexico city,22.6
Calipatria city,28.6
Desert Shores CDP,21.4
El Centro city,21.1
El Centro Naval Air Facility CDP,0.0
Heber CDP,16.1
Holtville city,23.7
Imperial city,11.1
Niland CDP,50.3
Ocotillo CDP,43.8
Palo Verde CDP,0.0
Salton City CDP,12.2
Salton Sea Beach CDP,62.0
Seeley CDP,22.2
Westmorland city,48.6
Winterhaven CDP,73.6
Inyo County,11.9
Big Pine CDP,8.7
Bishop city,7.3
Cartago CDP,0.0
Charleston View CDP,-
Darwin CDP,0.0
Dixon Lane-MeadowCreek CDP,16.9
Furnace Creek CDP,31.5
Homewood Canyon CDP,0.0
Independence CDP,8.1
Keeler CDP,57.1
Lone Pine CDP,10.2
Mesa CDP,13.6
Olancha CDP,0.0
Pearsonville CDP,-
Round Valley CDP,19.0
Shoshone CDP,0.0
Tecopa CDP,32.6
Trona CDP,-
Valley Wells CDP,-
West Bishop CDP,6.5
Wilkerson CDP,6.4
Kern County,19.3
Alta Sierra CDP (Kern County),53.8
Arvin city,28.7
Bakersfield city,16.5
Bakersfield Country Club CDP,11.2
Bear Valley Springs CDP,3.2
Benton Park CDP,21.4
Bodfish CDP,51.2
Boron CDP,27.5
Buttonwillow CDP,25.2
California City city,23.2
Casa Loma CDP,36.5
Cherokee Strip CDP,87.3
China Lake Acres CDP,24.1
Choctaw Valley CDP,0.0
Cottonwood CDP (Kern County),46.6
Delano city,19.6
Derby Acres CDP,15.6
Di Giorgio CDP,20.0
Dustin Acres CDP,1.1
East Bakersfield CDP,45.6
East Niles CDP,28.3
Edison CDP,42.9
Edmundson Acres CDP,13.4
Edwards AFB CDP,3.1
El Adobe CDP,0.0
Fairfax CDP,28.2
Fellows CDP,0.0
Ford City CDP,41.6
Frazier Park CDP,35.8
Fuller Acres CDP,53.3
Glennville CDP,18.2
Golden Hills CDP,9.1
Goodmanville CDP,0.0
Greenacres CDP,4.2
Greenfield CDP,9.5
Hillcrest CDP,22.7
Inyokern CDP,20.3
Johannesburg CDP,47.9
Keene CDP,0.0
Kernville CDP,12.9
La Cresta CDP,13.9
Lake Isabella CDP,36.4
Lake of the Woods CDP,20.3
Lakeside CDP (Kern County),17.3
Lamont CDP,32.4
Lebec CDP,37.3
Lost Hills CDP,22.0
McFarland city,26.8
McKittrick CDP,41.9
Maricopa city,18.2
Mettler CDP,29.5
Mexican Colony CDP,37.4
Mojave CDP,36.1
Mountain Meadows CDP,0.0
Mountain Mesa CDP,10.2
North Edwards CDP,23.7
Oildale CDP,29.1
Olde Stockdale CDP,0.0
Old River CDP,0.0
Old Stine CDP,25.8
Onyx CDP,27.8
Pine Mountain Club CDP,15.9
Potomac Park CDP,24.5
Pumpkin Center CDP,31.4
Randsburg CDP,0.0
Rexland Acres CDP,26.9
